group,pk,sk,exchange,attack,cardinality
d5,6,2,141794,17,10
d5,6,2,180107,14,10
d5,6,2,122615,20,10
d5,6,2,98013,24,10
d5,6,2,135609,11,10
d5,6,2,118279,12,10
d5,6,2,118555,14,10
d5,6,2,145640,11,10
d5,6,2,130852,13,10
d5,6,2,162775,26,10
d5,6,2,135203,18,10
d5,6,2,190595,22,10
d5,6,2,127428,15,10
d5,6,2,111486,15,10
d5,6,2,104396,19,10
d5,6,2,152937,17,10
d5,6,2,108361,19,10
d5,6,3,129227,26,10
d5,6,3,178975,17,10
d5,6,3,130353,24,10
d5,6,3,111280,15,10
d5,6,3,137088,16,10
d5,6,3,158436,27,10
d5,6,3,143741,15,10
d5,6,3,132427,16,10
d5,6,3,120338,20,10
d5,6,3,193744,20,10
d5,6,3,144765,16,10
d5,6,3,144768,18,10
d5,6,3,149524,31,10
d5,6,3,262054,14,10
d5,6,3,138862,22,10
d5,6,3,95352,16,10
d5,6,3,114479,20,10
d5,6,3,106925,32,10
d5,6,3,102824,47,10
d5,6,3,135633,18,10
d5,6,3,130349,12,10
d5,6,3,153446,16,10
d5,6,3,158851,19,10
d5,6,3,116691,19,10
d5,6,3,118845,19,10
d5,6,4,126962,17,10
d5,6,4,127030,14,10
d5,6,4,154608,13,10
d5,6,4,144658,22,10
d5,6,4,128242,16,10
d5,6,4,125780,11,10
d5,6,4,142320,19,10
d5,6,4,150294,42,10
d5,6,4,151168,21,10
d5,6,4,111765,28,10
d5,6,4,131806,20,10
d5,6,4,137735,18,10
d5,6,4,134513,26,10
d5,6,4,177538,20,10
d5,6,4,147493,29,10
d5,6,4,120132,24,10
d5,6,4,126823,23,10
d5,6,4,112874,17,10
d5,6,4,124252,32,10
d5,6,4,115636,17,10
d5,6,4,118639,17,10
d5,6,4,103841,16,10
d5,6,4,121152,32,10
d5,6,4,122893,24,10
d5,6,4,142687,18,10
d5,6,5,168529,16,10
d5,6,5,144527,20,10
d5,6,5,166434,24,10
d5,6,5,118828,21,10
